lastTickTime,Tile::grassCount,Tile::rabbitCount,Tile::foxCount
0,0,1,1
0.179226,0,1,1
0.237047,0,1,1
0.30371,0,1,1
0.370525,0,2,1
0.437424,0,2,1
0.503944,0,2,1
0.570414,0,2,1
0.637245,0,2,1
0.704068,0,2,1
0.771429,0,2,1
0.837285,0,4,1
0.905321,0,6,1
0.972112,0,8,1
1.0386,0,8,1
1.10502,0,8,1
1.17087,0,8,1
1.23781,0,8,1
1.30568,0,8,1
1.37244,0,10,1
1.43792,0,10,1
1.50721,0,14,1
1.57772,0,15,1
1.63865,0,17,1
1.71039,0,17,1
1.77598,0,20,1
1.84282,0,20,1
1.91039,0,20,1
1.98032,0,21,1
2.04657,0,22,1
2.11292,0,25,1
2.18562,0,27,1
2.25063,0,28,1
2.31949,0,30,1
2.38719,0,33,1
2.45423,0,38,1
2.5237,0,40,1
2.59902,0,46,1
2.67426,0,52,1
2.75606,0,58,1
2.8242,0,63,1
2.90518,0,66,1
2.98756,0,71,1
3.05863,0,78,1
3.1355,0,83,1
3.21115,0,93,1
3.30162,0,102,1
3.39175,0,113,1
3.46448,0,125,1
3.54565,0,135,1
3.62605,0,153,1
3.71063,0,165,1
3.78887,0,184,1
3.87531,0,199,1
3.95527,0,217,1
4.038,0,231,1
4.12371,0,247,1
4.20893,0,269,1
4.29306,0,286,1
4.3837,0,309,1
4.48397,0,331,1
4.57271,0,350,1
4.66239,0,375,1
4.75166,0,394,1
4.84663,0,412,1
4.94204,0,434,1
5.03874,0,457,1
5.15135,0,481,1
5.2769,0,510,1
5.38757,0,536,1
5.49776,0,559,1
5.60561,0,580,1
5.73397,0,605,1
5.85908,0,632,1
5.96939,0,665,1
6.09904,0,706,1
6.21634,0,738,1
6.33565,0,767,1
6.46056,0,815,1
6.58257,0,853,1
6.7102,0,894,1
6.84238,0,928,1
6.97525,0,971,1
7.10763,0,1020,1
7.24814,0,1065,1
7.38522,0,1130,1
7.53078,0,1171,1
7.67647,0,1217,1
7.82481,0,1274,1
7.97746,0,1326,1
8.13608,0,1387,1
8.2954,0,1446,1
8.45486,0,1500,1
8.61723,0,1565,1
8.78438,0,1626,1
8.95453,0,1689,1
9.12664,0,1762,1
9.30238,0,1826,1
9.4858,0,1886,1
9.66301,0,1965,1
9.86414,0,2054,1
10.0516,0,2123,1
10.251,0,2185,1
10.4418,0,2266,1
10.6421,0,2348,1
10.8428,0,2430,1
11.045,0,2516,1
11.2562,0,2603,1
11.4697,0,2680,1
11.685,0,2761,1
11.9024,0,2856,1
12.1236,0,2941,1
12.3473,0,3043,1
12.5822,0,3140,1
12.817,0,3264,1
13.0975,0,3371,1
13.3405,0,3477,1
13.5917,0,3586,1
13.8468,0,3709,1
14.1066,0,3814,1
14.3627,0,3915,1
14.6323,0,4019,1
14.9493,0,4143,1
15.2429,0,4266,1
15.5812,0,4393,1
15.8805,0,4506,1
16.1702,0,4665,1
16.4671,0,4788,1
16.7657,0,4933,1
17.0726,0,5065,1
17.3834,0,5212,1
17.695,0,5340,1
18.009,0,5476,1
18.3197,0,5638,1
18.6705,0,5791,1
18.9997,0,5948,1
19.3796,0,6126,1
19.7387,0,6303,1
20.0982,0,6466,1
20.4584,0,6666,1
20.847,0,6867,1
21.2244,0,7050,1
21.6448,0,7247,1
22.0433,0,7459,1
22.4574,0,7662,1
22.8864,0,7856,1
23.3108,0,8054,1
23.7309,0,8293,1
24.1804,0,8495,1
24.6221,0,8728,1
25.0601,0,8940,1
25.5185,0,9179,1
26.0327,0,9413,1
26.5289,0,9626,1
26.9939,0,9873,1
27.469,0,10115,1
27.9753,0,10351,1
28.5466,0,10631,1
29.095,0,10915,1
29.6965,0,11223,1
30.2729,0,11531,1
30.9874,0,11800,1
31.6716,0,12089,1
32.4586,0,12368,1
33.067,0,12673,1
33.7941,0,12995,1
34.5098,0,13326,1
35.1662,0,13642,1
35.8663,0,13967,1
36.5877,0,14351,1
37.3602,0,14682,1
38.1633,0,15063,1
38.9975,0,15452,1
39.9219,0,15815,1
40.7196,0,16221,1
41.6139,0,16587,1
42.5389,0,16996,1
43.5843,0,17396,1
44.4968,0,17782,1
45.4859,0,18218,1
46.555,0,18632,1
47.5145,0,19089,1
48.5239,0,19534,1
49.6679,0,19986,1
50.7293,0,20451,1
52.1393,0,20929,1
53.3102,0,21385,1
54.6241,0,21875,1
55.8882,0,22347,1
57.2638,0,22832,1
58.7346,0,23327,1
60.0433,0,23826,1
61.4464,0,24313,1
62.8505,0,24848,1
64.3482,0,25445,1
65.9057,0,25996,1
67.4977,0,26520,1
69.0956,0,27139,1
70.8797,0,27691,1
72.5965,0,28308,1
74.365,0,28883,1
76.3426,0,29505,1
